"""","調査産業計(千円)","建設業(千円)","製造業(千円)","電気ｶﾞｽ_熱供給_水道業(千円)","情報通信業(千円)","運輸業,郵便業(千円)","卸売業,小売業(千円)","金融業,保険業(千円)","不動産業,物品賃貸業(千円)","学術研究,専門･技術ｻｰﾋﾞｽ業(千円)","宿泊業,飲食ｻｰﾋﾞｽ業(千円)","生活関連ｻｰﾋﾞｽ業,娯楽業(千円)","教育，学習支援業(千円)","医療，福祉(千円)","複合ｻｰﾋﾞｽ事業(千円)","サービス業（他に分類されないもの）(千円)"
"平成20年(2008年)","304435.0","315496.0","318046.0","552514.0","343433.0","345152.0","220198.0","367299.0","…","…","…","…","476149.0","329796.0","328184.0","…"
"平成21年(2009年)","293255.0","289304.0","304478.0","604016.0","423970.0","268238.0","204365.0","462927.0","…","…","…","…","484599.0","340480.0","353142.0","…"
"平成22年(2010年)","288464.0","298947.0","318565.0","609710.0","405742.0","281397.0","196569.0","449253.0","338407.0","348723.0","134424.0","174743.0","460056.0","323816.0","345335.0","286999.0"
"平成23年(2011年)","276664.0","307937.0","310473.0","644315.0","389536.0","278495.0","181654.0","409578.0","301287.0","408725.0","113618.0","174661.0","429839.0","307004.0","334218.0","273808.0"
"平成24年(2012年)","283898.0","348260.0","318866.0","677146.0","387874.0","294685.0","194062.0","387023.0","225126.0","398133.0","116395.0","211822.0","485916.0","299277.0","316981.0","224378.0"
"平成25年(2013年)","284085.0","338917.0","324111.0","484788.0","411474.0","301889.0","206060.0","422255.0","216836.0","403014.0","124919.0","221523.0","466985.0","292061.0","316755.0","219055.0"
"","","","","","","","","","","","","","","","",""
"2013年 1月","245196.0","279299.0","257942.0","435527.0","441066.0","306685.0","175523.0","360402.0","182074.0","310031.0","117177.0","260258.0","363198.0","255063.0","248145.0","195384.0"
"2013年 2月","235416.0","289614.0","264621.0","438453.0","333298.0","257063.0","171776.0","330031.0","186367.0","309743.0","101574.0","213547.0","363996.0","246198.0","243922.0","190244.0"
"2013年 3月","245371.0","336451.0","273502.0","564917.0","395085.0","277741.0","179910.0","332930.0","190548.0","328927.0","111672.0","176553.0","367695.0","250755.0","274007.0","189441.0"
"","","","","","","","","","","","","","","","",""
"2013年 4月","244053.0","300932.0","278040.0","411478.0","332036.0","275602.0","181828.0","339686.0","201288.0","327512.0","127992.0","199289.0","359117.0","244179.0","284216.0","198791.0"
"2013年 5月","238289.0","290078.0","264441.0","420226.0","331464.0","253955.0","183743.0","326481.0","181559.0","317520.0","115646.0","219492.0","358691.0","241773.0","269863.0","190982.0"
"2013年 6月","399911.0","374337.0","406477.0","786889.0","677500.0","365197.0","230482.0","739334.0","269253.0","701755.0","119900.0","243844.0","902752.0","460878.0","565582.0","305437.0"
"","","","","","","","","","","","","","","","",""
"2013年 7月","315350.0","442607.0","440026.0","407243.0","391877.0","322934.0","267910.0","456014.0","212688.0","363481.0","157637.0","227543.0","354157.0","294824.0","268563.0","215283.0"
"2013年 8月","248414.0","293424.0","286521.0","407180.0","333659.0","310259.0","191609.0","342259.0","199457.0","326651.0","127298.0","206765.0","348182.0","242058.0","255608.0","202881.0"
"2013年 9月","239600.0","286947.0","268606.0","404423.0","343770.0","259946.0","184294.0","341142.0","188133.0","308146.0","126227.0","227786.0","347944.0","241786.0","253243.0","191079.0"
"","","","","","","","","","","","","","","","",""
"2013年10月","235830.0","306431.0","265149.0","388797.0","315968.0","257853.0","181797.0","343796.0","198140.0","320256.0","115874.0","182394.0","345765.0","240676.0","249802.0","186256.0"
"2013年11月","242128.0","294796.0","286374.0","392818.0","359880.0","262847.0","192683.0","335560.0","190100.0","317114.0","121137.0","176483.0","347346.0","239256.0","247628.0","195309.0"
"2013年12月","516177.0","573460.0","594493.0","757432.0","679179.0","470164.0","330150.0","822341.0","391537.0","902970.0","157015.0","319282.0","1139254.0","544301.0","634962.0","366323.0"
